engine,operation,ops_per_sec,duration_sec,avg_latency_us,stddev_us,cv_percent,p50_us,p95_us,p99_us,min_us,max_us,peak_rss_mb,peak_vms_mb,disk_read_mb,disk_write_mb,cpu_user_sec,cpu_sys_sec,cpu_percent,db_size_mb,write_amp,read_amp,space_amp
rocksdb,GET,1206400.97,4.145,5.79,5.17,89.27,5.00,13.00,19.00,0.00,3471.00,351.38,1292.87,0.28,692.13,39.356,3.152,474.8,73.31,1.25,0.00,0.13
rocksdb,ITER,3565715.79,1.402,0,0,0,0,0,0,0,0,351.38,1292.87,0.28,692.13,39.356,3.152,474.8,73.31,1.25,0.00,0.13
tidesdb,PUT,2551077.68,1.960,2797.69,2788.76,99.68,2674.00,4779.00,5793.00,791.00,140834.00,610.54,1015.61,0.00,576.93,26.012,2.758,647.2,10.17,1.04,0.00,0.02
tidesdb,GET,2602376.18,1.921,2.43,2.09,86.04,2.00,5.00,7.00,0.00,1733.00,610.54,1015.61,0.00,576.93,26.012,2.758,647.2,10.17,1.04,0.00,0.02
tidesdb,ITER,3478767.28,0.188,0,0,0,0,0,0,0,0,610.54,1015.61,0.00,576.93,26.012,2.758,647.2,10.17,1.04,0.00,0.02
tidesdb,PUT,2754787.55,1.815,2615.05,3236.39,123.76,2564.00,4206.00,4827.00,720.00,132614.00,609.15,1015.61,0.00,576.93,25.458,2.540,656.4,10.22,1.04,0.00,0.02
tidesdb,GET,2658263.72,1.881,2.42,2.03,84.14,2.00,5.00,7.00,0.00,1050.00,609.15,1015.61,0.00,576.93,25.458,2.540,656.4,10.22,1.04,0.00,0.02
tidesdb,ITER,3346905.38,0.196,0,0,0,0,0,0,0,0,609.15,1015.61,0.00,576.93,25.458,2.540,656.4,10.22,1.04,0.00,0.02
tidesdb,PUT,2726221.89,1.834,2619.36,2541.60,97.03,2586.00,4166.00,4931.00,752.00,121031.00,615.11,1079.61,0.00,576.93,26.045,2.791,651.8,10.17,1.04,0.00,0.02
tidesdb,GET,2508228.24,1.993,2.49,1.58,63.35,2.00,5.00,7.00,0.00,555.00,615.11,1079.61,0.00,576.93,26.045,2.791,651.8,10.17,1.04,0.00,0.02
tidesdb,ITER,3458318.77,0.189,0,0,0,0,0,0,0,0,615.11,1079.61,0.00,576.93,26.045,2.791,651.8,10.17,1.04,0.00,0.02
rocksdb,PUT,1302656.30,3.838,6065.08,1951.31,32.17,6381.00,8319.00,9642.00,1404.00,76252.00,266.15,1292.49,0.38,679.78,37.575,3.392,491.5,54.18,1.23,0.00,0.10
rocksdb,GET,1344011.96,3.720,5.23,4.38,83.70,5.00,12.00,16.00,0.00,3172.00,266.15,1292.49,0.38,679.78,37.575,3.392,491.5,54.18,1.23,0.00,0.10
rocksdb,ITER,1871475.88,0.351,0,0,0,0,0,0,0,0,266.15,1292.49,0.38,679.78,37.575,3.392,491.5,54.18,1.23,0.00,0.10
rocksdb,PUT,1310237.86,3.816,6030.91,1944.00,32.23,6242.00,8390.00,9756.00,1340.00,76705.00,215.47,1292.49,0.27,678.96,36.534,3.396,493.0,61.08,1.23,0.00,0.11
rocksdb,GET,1430528.80,3.495,5.01,4.12,82.16,4.00,11.00,16.00,0.00,3585.00,215.47,1292.49,0.27,678.96,36.534,3.396,493.0,61.08,1.23,0.00,0.11
rocksdb,ITER,1830766.44,0.359,0,0,0,0,0,0,0,0,215.47,1292.49,0.27,678.96,36.534,3.396,493.0,61.08,1.23,0.00,0.11
rocksdb,PUT,1290710.63,3.874,6004.00,3509.34,58.45,6357.00,8298.00,9972.00,1076.00,133840.00,235.89,1292.49,0.29,678.56,37.627,3.012,495.3,65.24,1.23,0.00,0.12
rocksdb,GET,1416377.63,3.530,5.08,3.84,75.53,4.00,12.00,16.00,0.00,1783.00,235.89,1292.49,0.29,678.56,37.627,3.012,495.3,65.24,1.23,0.00,0.12
